Sample_ID	Sample_site	Depth_zone_m	Sample_date	site_lat	site_long
CBC_MCAV_113	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_114	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_115	GR	10	03/27/17	16.755383	-87.78125
CBC_MCAV_116	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_117	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_118	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_119	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_120	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_121	TR	10	03/25/17	16.832433	-88.074017
CBC_MCAV_122	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_123	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_124	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_125	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_126	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_127	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_128	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_129	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_130	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_131	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_132	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_133	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_134	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_135	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_136	TR	25	03/25/17	16.832433	-88.074017
CBC_MCAV_137	TR	16	03/27/17	16.832433	-88.074017
CBC_MCAV_138	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_139	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_140	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_141	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_142	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_143	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_144	GR	35	03/27/17	16.755383	-87.78125
CBC_MCAV_145	GR	25	03/27/17	16.755383	-87.78125
CBC_MCAV_146	GR	25	03/27/17	16.755383	-87.78125
