Sample, MC29, MC41, MC49, MC46, MC65, MC97, MC4, MC18, MC114
MCAV_106,"05,06","02,05","04,14","03,03","02,02","04,05","08,21","02,03","09,09"
MCAV_107,"02,06","02,05","14,15","03,04","03,04","02,05","21,21","04,08","04,10"
MCAV_108,"01,06","05,06","13,14","03,03","03,03","05,05","15,26","02,05","10,10"
MCAV_109,"04,04","02,05","02,13","03,03","02,03","04,05","07,15","05,09","15,19"
MCAV_110,"04,06","05,05","15,16","03,03","03,05","05,07","15,19","04,07","07,13"
MCAV_111,"01,06","02,05","14,14","03,04","03,03","05,06","05,18","04,08","10,10"
MCAV_112,"04,05","05,05","14,14","03,04","03,03","06,06","05,08","08,11","04,15"
MCAV_113,"02,05","02,05","02,15","03,04","04,05","02,04","07,07","03,06","07,09"
MCAV_114,"05,05","03,06","04,14","03,03","03,04","06,06","05,19","02,07","13,16"
MCAV_115,"05,07","03,05","04,14","03,03","02,03","05,07","06,29","07,08","08,11"
MCAV_116,"02,06","02,10","04,14","03,04","03,03","05,06","07,26","06,09","11,13"
MCAV_117,"02,06","02,05","14,14","02,03","03,03","05,05","07,29","08,08","09,12"
MCAV_118,"05,07","05,06","13,14","03,03","03,03","04,05","15,52","02,06","03,07"
MCAV_119,"02,06","05,06","02,14","03,03","03,03","02,06","08,48","02,04","04,11"
MCAV_120,"05,05","05,07","02,04","02,03","03,03","04,05","26,26","05,05","04,09"
MCAV_121,"04,05","03,06","04,13","03,03","03,05","05,05","21,21","05,08","09,15"
MCAV_122,"06,06","05,05","13,15","03,04","03,04","03,05","26,50","05,09","11,11"
MCAV_123,"02,07","06,06","02,14","03,03","03,03","03,05","08,19","05,09","10,11"
MCAV_124,"04,05","06,06","08,08","03,03","03,04","05,06","07,23","02,02","08,12"
MCAV_125,"04,04","06,06","01,02","03,03","03,03","03,05","03,21","01,03","08,09"
MCAV_126,"05,05","02,06","01,14","03,04","02,03","03,03","12,31","11,11","09,09"
MCAV_127,"05,06","02,06","02,15","03,03","03,03","03,05","29,35","02,02","04,12"
MCAV_128,"05,06","06,06","01,01","03,03","03,03","03,03","19,23","02,02","10,12"
MCAV_129,"05,05","02,05","04,14","04,04","03,03","05,06","21,48","07,07","05,05"
MCAV_130,"04,06","06,07","07,07","03,03","03,03","03,05","99,99","02,03","10,10"
MCAV_131,"04,05","05,06","08,08","03,03","03,03","05,05","06,17","03,03","10,13"
MCAV_132,"05,06","02,08","04,15","03,03","03,03","05,07","06,06","03,04","03,09"
MCAV_133,"05,05","02,06","01,02","03,03","03,03","02,06","20,42","05,05","08,12"
MCAV_134,"05,05","05,05","02,08","03,04","03,03","03,05","25,28","04,04","06,07"
MCAV_135,"07,07","03,05","02,02","03,04","03,03","05,06","15,17","04,04","05,05"
MCAV_136,"04,08","02,06","02,07","03,04","03,04","05,05","09,17","05,05","09,13"
MCAV_137,"02,05","02,06","14,15","03,03","03,04","03,05","06,19","06,06","03,08"
MCAV_138,"04,04","05,05","02,14","03,04","04,04","05,05","19,45","99,99","05,08"
MCAV_139,"05,05","06,06","01,04","03,04","04,04","02,03","20,20","06,06","05,07"
